[139407978, 206633498, 21411166, 153971412, 14453219, 109762470, 33459397]
[121690776, 115201947, 136745825, 178417372, 107764572, 248009027, 142512266, 200335099]
[173377106, 227979404, 182624742, 133017748, 129440306, 156336779, 166718684, 191354432]
[167539219, 192052900, 155852712, 211348323, 132577636, 86947648, 130432837, 193893252]
[74329510, 39112394, 143983921, 14633437, 31883744, 64678772, 138369111, 196982491]
[121690776, 115201947, 136745825, 178417372, 175589778, 93222629, 153601893, 70605652]
[74329510, 39112394, 1072059, 123327512, 191647261, 171617328, 241296991, 37884867]
[121975721, 42062284, 19586029, 62150434, 204748696, 36212687, 147818594, 158117887]
[188932858, 200934080, 97777798, 169801301, 164186099, 198332826, 61999632, 188118598]
[240973929, 83097505, 11728468, 155886915, 16751023, 185433565, 17449245, 19554161]
[245186357, 33815929, 103613504, 216015871, 122861351, 235904624, 203746965, 22326671]
[205972194, 61946850, 32802042, 172129796, 159489605, 37610409, 78212502, 79146772]
[150812197, 207907728, 45493282, 10744960, 219846231, 214341924, 211571494, 186116416]
[239554898, 105465088, 218365829, 203396497, 217698719, 109346344, 97770307, 148322777]
[205972194, 86177255, 137657541, 216106120, 120372757, 139542613, 234459856, 200819481]
[121690776, 115201947, 198483596, 183062049, 80283557, 145778538, 16133245, 44565731]
[245186357, 56476491, 21738255, 97185163, 175878122, 220599173, 47033771, 164119414]
[76710225, 167739046, 165438592, 16815147, 19314675, 67169327, 39993770, 160258037]
[28939697, 123364048, 231894319, 154778647, 193962753, 143903710, 31086791, 33867085]
[205972194, 86177255, 137657541, 216106120, 180801689, 61038839, 207968817, 228295288]
[245186357, 104175749, 170891995, 92128647, 82767641, 86769079, 53476114, 32769569]
[141361673, 190697245, 163142798, 177099734, 231929783, 167202517, 150862424, 119728630]
[245186357, 104175749, 170891995, 92128647, 82767641, 20692254, 188570605, 34603281]
[205972194, 86177255, 137657541, 216106120, 120372757, 139542613, 204891456, 105569673]
[181938804, 60690532, 76340025, 20984795, 32429535, 61556459, 89896090, 50628338]
[245186357, 56476491, 21738255, 97185163, 175878122, 220599173, 91394014, 154411516]
[49431804, 246457812, 177362205, 102622165, 208510025, 71648331, 137283276, 51765167]
[245186357, 51214878, 45978248, 68718653, 95501463, 13860663, 193348584, 166823918]
[245186357, 51214878, 45978248, 155615916, 138977991, 41930122, 111473175, 72347560]
[152865647, 34304426, 142969536, 142498073, 1308617, 97329154, 224577809, 46927753]
[239208748, 140345608, 11321520, 169990400, 128087118, 162335816, 121638754, 200960581]
[104573498, 121415770, 149472192, 187891726, 102116478, 192853830, 193157004, 128030916]
[139407978, 206633498, 21411166, 124608406, 31227063, 24827542, 13338710]
[167539219, 192052900, 155852712, 211348323, 132577636, 86947648, 189765099, 220191342]
[211316160, 37095821, 218824995, 2668282, 69308388, 7611215, 94356122, 192427423]
[31297005, 54490622, 234779012, 62975425, 58718573, 113499629, 711472, 195935431]
[211804832, 138574305, 56455960, 132113199, 84950288, 244765607, 144626762, 225961641]
[139255779, 117323211, 86191772, 224651056, 132371457, 206053611, 134787231, 64857147]
[205972194, 61946850, 32802042, 172129796, 159489605, 18105192, 190933999, 111842120]
[108906837, 199773189, 71402764, 29015971, 82406962, 227606238, 60408619, 54843167]
[139407978, 206633498, 21411166, 153971412, 14453219, 205991779, 221333785]
[245186357, 56476491, 21738255, 97185163, 192049182, 166698876, 186300486, 169473030]
[231488027, 32101784, 127865537, 154034083, 68103002, 244309041, 202762300, 11332827]
[139255779, 10547589, 17697623, 184429220, 146187085, 111837316, 50072834, 72860427]
[245186357, 179224212, 67875021, 188951933, 248882419, 89748732, 240574689, 70794207]
[188932858, 200934080, 97777798, 41131871, 177611026, 170615717, 80287989, 28940412]
[82212583, 193617759, 234025706, 141485732, 2507358, 21408970, 380412, 212058637]
[239554898, 102907710, 132452821, 243389068, 172961109, 101671279, 7693506, 225369397]
[205972194, 61946850, 217597649, 241053092, 63709074, 131080152, 224675483, 187605266]
[239393237, 164714934, 224904743, 27314302, 105058071, 113362181, 15531678, 107119989]
[18782487, 180228062, 32306155, 99137953, 31715291, 215201551, 138967194, 168797208]
[10106479, 48368057, 101287106, 26137914, 37677254, 191925753, 186944057, 119782925]
[42779529, 94357672, 222611044, 160319561, 210931271, 143538059, 106316272, 120260603]
[231488027, 32101784, 127865537, 154034083, 68103002, 244309041, 243936427, 122824369]
[208230092, 214761888, 193867375, 85227644, 238283386, 63032194, 235010210, 93400573]
[75857740, 82351932, 215992635, 214948612, 246690652, 187169141, 137052395, 94952719]
[213112826, 25516838, 152287638, 114775498, 49141311, 165540066, 235599468, 127370199]
[245186357, 33815929, 81317813, 149728072, 110885945, 66745182, 71658269, 55212737]
[22619776, 15424767, 102941135, 61285663, 96312587, 111443785, 152713665, 60021203]
[22619776, 15424767, 102941135, 61285663, 96312587, 111443785, 47244643, 125257460]
[245186357, 51214878, 45978248, 68718653, 95501463, 13860663, 193348584, 129047552]
[32676012, 195138918, 93193866, 32903994, 59648710, 51128691, 33169447, 131096179]
[239554898, 102907710, 132452821, 124460660, 126077318, 106213186, 35829210, 63952888]
[188932858, 115146698, 234256803, 209034558, 68471112, 202487706, 179953729, 150641428]
[96343362, 100486110, 213236602, 24901115, 181105803, 35349992, 14867803, 238158103]
[104573498, 121415770, 149472192, 187891726, 102116478, 192853830, 193157004, 236969970]
[204318514, 96260484, 124198569, 82290644, 227716861, 7485663, 220039575, 103003310]
[150812197, 207907728, 45493282, 10744960, 219846231, 214341924, 31544041, 236030292]
[139407978, 206633498, 150172527, 103425566, 134660567, 177832293, 219070174]
[121690776, 115201947, 136745825, 178417372, 175589778, 145455047, 67523417, 116408845]
[204318514, 96260484, 124198569, 82290644, 146804374, 117498001, 126442178, 9338006]
[245186357, 104175749, 170891995, 212154307, 48930371, 183766873, 150942020, 246189687]
[148907630, 26611378, 193025159, 174146668, 98828830, 91190696, 170476984, 238067611]
[245186357, 51214878, 45978248, 195792955, 168729222, 58289814, 67579479, 227460341]
[170206712, 12111425, 214226545, 122121517, 34740807, 145943647, 70435860, 191038137]
[231488027, 32101784, 127865537, 154034083, 68103002, 244309041, 243936427, 30754452]
[169313277, 46027908, 89275938, 192993033, 176458064, 207166894, 230806644, 211436046]
[112655291, 19209424, 128847631, 39081452, 6726870, 216748752, 80786264, 87857043]
[211804832, 138574305, 94342188, 23325149, 239267654, 123812024, 64267331, 62871745]
[204318514, 96260484, 124198569, 82290644, 146804374, 45330786, 231514379, 155329311]
[245186357, 51214878, 45978248, 68718653, 95501463, 66356562, 4198448, 175338924]
[239554898, 105465088, 218365829, 203396497, 217698719, 109346344, 128900803, 94444056]
[76710225, 167739046, 165438592, 117465674, 153838766, 76998540, 30643800, 91554837]
[74329510, 124765354, 216119651, 120037485, 203664073, 184232351, 223764514, 46663709]
[22619776, 15424767, 102941135, 61285663, 212578573, 69785594, 107624303, 145815643]
[205972194, 86177255, 137657541, 216106120, 120372757, 139542613, 154738389, 205407102]
[239554898, 105465088, 218365829, 203396497, 217698719, 109346344, 174986052, 192087767]
[82212583, 193617759, 234025706, 196862795, 8436367, 66950703, 124649207, 16020084]
[121975721, 42062284, 93893883, 4420759, 46004189, 144780964, 248183294, 138849955]
[218542507, 210706211, 73665838, 242370252, 199101112, 242479614, 167086961, 45586291]
[245186357, 51214878, 45978248, 195792955, 168729222, 58289814, 97299092, 74609111]
[211316160, 37095821, 218824995, 2668282, 69308388, 7611215, 230270253, 200804843]
[112655291, 19209424, 78637201, 3582407, 3968327, 29627680, 161197461, 23018251]
[116640107, 175919948, 230396891, 118261327, 178497914, 206946729, 74797845, 209602126]
[150812197, 207907728, 45493282, 10744960, 219846231, 214341924, 31544041, 215755199]
[205226715, 161852671, 153828978, 10844735, 75121201, 96730785, 171609901, 17144506]
[167539219, 192052900, 155852712, 211348323, 132577636, 86947648, 46553533, 26519316]
[148907630, 143141347, 51124938, 61812059, 158106868, 224098540, 18049403, 41583897]
